onset	duration	trial_type	value	sample	stimulus	stim_length
24.758	0.0	onset	162	24758	1	225.6
249.366	0.0	offset	167	249366		
359.048	0.0	onset	162	359048	2	321.3
679.359	0.0	offset	167	679359		
725.666	0.0	onset	162	725666	3	214.4
939.074	0.0	offset	167	939074		
983.391	0.0	onset	162	983391	4	211.1
1193.506	0.0	offset	167	1193506		
1246.499	0.0	onset	162	1246499	5	236.4
1481.906	0.0	offset	167	1481906		
1529.584	0.0	onset	162	1529584	6	271.0
1799.595	0.0	offset	167	1799595		
1877.631	0.0	onset	162	1877631	7	232.7
2109.327	0.0	offset	167	2109327		
2162.989	0.0	onset	162	2162989	8	251.1
2413.09	0.0	offset	167	2413090		
2450.889	0.0	onset	162	2450889	9	332.4
2782.284	0.0	offset	167	2782284		
2838.354	0.0	onset	162	2838354	10	233.0
3070.367	0.0	offset	167	3070367		
3119.934	0.0	onset	162	3119934	11	285.9
3404.839	0.0	offset	167	3404839		
