onset	duration	trial_type	value	sample	stimulus	stim_length
10.41	0.0	onset	162	10410	1	225.6
235.018	0.0	offset	167	235018		
288.43	0.0	onset	162	288430	2	321.3
608.726	0.0	offset	167	608726		
657.222	0.0	onset	162	657222	3	214.4
870.63	0.0	offset	167	870630		
919.728	0.0	onset	162	919728	4	211.1
1129.843	0.0	offset	167	1129843		
1207.945	0.0	onset	162	1207945	5	236.4
1443.352	0.0	offset	167	1443352		
1523.728	0.0	onset	162	1523728	6	271.0
1794.993	0.0	offset	167	1794993		
1863.049	0.0	onset	162	1863049	7	232.7
2096.015	0.0	offset	167	2096015		
2181.423	0.0	onset	162	2181423	8	251.1
2431.525	0.0	offset	167	2431525		
2492.342	0.0	onset	162	2492342	9	332.4
2823.754	0.0	offset	167	2823754		
2936.377	0.0	onset	162	2936377	10	233.0
3168.391	0.0	offset	167	3168391		
3230.528	0.0	onset	162	3230528	11b	285.9
3436.029	0.0	offset	167	3436029		
