onset	duration	trial_type	value	sample	stimulus	stim_length
5.059	0.0	onset	162	5059	1	225.6
229.667	0.0	offset	167	229667		
384.668	0.0	onset	162	384668	2	321.3
704.963	0.0	offset	167	704963		
764.008	0.0	onset	162	764008	3	214.4
977.416	0.0	offset	167	977416		
1017.838	0.0	onset	162	1017838	4	211.1
1227.936	0.0	offset	167	1227936		
1305.32	0.0	onset	162	1305320	5	236.4
1540.727	0.0	offset	167	1540727		
1588.555	0.0	onset	162	1588555	6	271.0
1859.82	0.0	offset	167	1859820		
1974.416	0.0	onset	162	1974416	7	232.7
2207.382	0.0	offset	167	2207382		
2273.983	0.0	onset	162	2273983	8	251.1
2524.084	0.0	offset	167	2524084		
2597.289	0.0	onset	162	2597289	9	332.4
2928.701	0.0	offset	167	2928701		
3004.029	0.0	onset	162	3004029	10	233.0
3236.025	0.0	offset	167	3236025		
3323.556	0.0	onset	162	3323556	11	285.9
3529.073	0.0	offset	167	3529073		
