onset	duration	trial_type	value	sample	stimulus	stim_length
7.447	0.0	onset	162	7447	1	225.6
232.045	0.0	offset	167	232045		
295.397	0.0	onset	162	295397	2	321.3
615.699	0.0	offset	167	615699		
664.607	0.0	onset	162	664607	3	214.4
878.005	0.0	offset	167	878005		
931.443	0.0	onset	162	931443	4	211.1
1141.547	0.0	offset	167	1141547		
1209.797	0.0	onset	162	1209797	5	236.4
1445.194	0.0	offset	167	1445194		
1508.562	0.0	onset	162	1508562	6	271.0
1778.563	0.0	offset	167	1778563		
1840.026	0.0	onset	162	1840026	7	232.7
2071.729	0.0	offset	167	2071729		
2154.589	0.0	onset	162	2154589	8	251.1
2404.697	0.0	offset	167	2404697		
2449.727	0.0	onset	162	2449727	9	332.4
2781.129	0.0	offset	167	2781129		
2845.935	0.0	onset	162	2845935	10	233.0
3077.938	0.0	offset	167	3077938		
3146.723	0.0	onset	162	3146723	11	285.9
3431.619	0.0	offset	167	3431619		
