onset	duration	trial_type	value	sample	stimulus	stim_length
3.374	0.0	onset	162	3374	1	225.6
227.97	0.0	offset	167	227970		
294.565	0.0	onset	162	294565	2	321.3
614.867	0.0	offset	167	614867		
658.142	0.0	onset	162	658142	3	214.4
871.539	0.0	offset	167	871539		
971.016	0.0	onset	162	971016	4	211.1
1181.12	0.0	offset	167	1181120		
1251.744	0.0	onset	162	1251744	5	236.4
1487.141	0.0	offset	167	1487141		
1522.007	0.0	onset	162	1522007	6	271.0
1792.008	0.0	offset	167	1792008		
1861.846	0.0	onset	162	1861846	7	232.7
2093.548	0.0	offset	167	2093548		
2150.514	0.0	onset	162	2150514	8	251.1
2400.622	0.0	offset	167	2400622		
2441.138	0.0	onset	162	2441138	9	332.4
2772.541	0.0	offset	167	2772541		
2894.836	0.0	onset	162	2894836	10	233.0
3126.84	0.0	offset	167	3126840		
3191.83	0.0	onset	162	3191830	11	285.9
3476.725	0.0	offset	167	3476725		
