onset	duration	trial_type	value	sample	stimulus
4.12	225.6	onset	162	4120	1.0
228.717	0.0	offset	167	228717	n/a
280.801	321.3	onset	162	280801	2.0
601.104	0.0	offset	167	601104	n/a
637.942	214.4	onset	162	637942	3.0
851.34	0.0	offset	167	851340	n/a
895.751	211.1	onset	162	895751	4.0
1105.855	0.0	offset	167	1105855	n/a
1159.277	236.4	onset	162	1159277	5.0
1394.674	0.0	offset	167	1394674	n/a
1434.856	271.0	onset	162	1434856	6.0
1704.857	0.0	offset	167	1704857	n/a
1803.649	232.7	onset	162	1803649	7.0
2035.351	0.0	offset	167	2035351	n/a
2076.419	251.1	onset	162	2076419	8.0
2326.527	0.0	offset	167	2326527	n/a
2368.899	332.4	onset	162	2368899	9.0
2700.301	0.0	offset	167	2700301	n/a
2794.813	233.0	onset	162	2794813	10.0
3026.817	0.0	offset	167	3026817	n/a
3126.21	285.9	onset	162	3126210	11.0
3411.106	0.0	offset	167	3411106	n/a
