onset	duration	trial_type	value	sample	stimulus	stim_length
8.639	0.0	onset	162	8639	1	225.6
233.236	0.0	offset	167	233236		
283.365	0.0	onset	162	283365	2	321.3
603.667	0.0	offset	167	603667		
654.364	0.0	onset	162	654364	3	214.4
867.762	0.0	offset	167	867762		
907.793	0.0	onset	162	907793	4	211.1
1117.897	0.0	offset	167	1117897		
1176.869	0.0	onset	162	1176869	5	236.4
1412.266	0.0	offset	167	1412266		
1457.998	0.0	onset	162	1457998	6	271.0
1727.999	0.0	offset	167	1727999		
1787.757	0.0	onset	162	1787757	7	232.7
2019.459	0.0	offset	167	2019459		
2069.721	0.0	onset	162	2069721	8	251.1
2319.829	0.0	offset	167	2319829		
2367.35	0.0	onset	162	2367350	9	332.4
2698.752	0.0	offset	167	2698752		
2778.754	0.0	onset	162	2778754	10	233.0
3010.757	0.0	offset	167	3010757		
3088.168	0.0	onset	162	3088168	11	285.9
3373.064	0.0	offset	167	3373064		
