onset	duration	trial_type	value	sample	stimulus	stim_length
11.778	0.0	onset	162	11778	1	225.6
236.385	0.0	offset	167	236385		
303.372	0.0	onset	162	303372	2	321.3
623.683	0.0	offset	167	623683		
661.431	0.0	onset	162	661431	3	214.4
874.839	0.0	offset	167	874839		
915.913	0.0	onset	162	915913	4	211.1
1126.027	0.0	offset	167	1126027		
1171.281	0.0	onset	162	1171281	5	236.4
1406.688	0.0	offset	167	1406688		
1693.519	0.0	onset	162	1693519	6	271.0
1964.783	0.0	offset	167	1964783		
2023.394	0.0	onset	162	2023394	7	232.7
2256.36	0.0	offset	167	2256360		
2306.295	0.0	onset	162	2306295	8	251.1
2556.396	0.0	offset	167	2556396		
2599.945	0.0	onset	162	2599945	9	332.4
2931.34	0.0	offset	167	2931340		
2994.832	0.0	onset	162	2994832	10	233.0
3226.845	0.0	offset	167	3226845		
3275.276	0.0	onset	162	3275276	11	285.9
3560.181	0.0	offset	167	3560181		
