onset	duration	trial_type	value	sample	stimulus
3.374	225.6	onset	162	3374	1.0
227.97	0	offset	167	227970	
294.565	321.3	onset	162	294565	2.0
614.867	0	offset	167	614867	
658.142	214.4	onset	162	658142	3.0
871.539	0	offset	167	871539	
971.016	211.1	onset	162	971016	4.0
1181.12	0	offset	167	1181120	
1251.744	236.4	onset	162	1251744	5.0
1487.141	0	offset	167	1487141	
1522.007	271.0	onset	162	1522007	6.0
1792.008	0	offset	167	1792008	
1861.846	232.7	onset	162	1861846	7.0
2093.548	0	offset	167	2093548	
2150.514	251.1	onset	162	2150514	8.0
2400.622	0	offset	167	2400622	
2441.138	332.4	onset	162	2441138	9.0
2772.541	0	offset	167	2772541	
2894.836	233.0	onset	162	2894836	10.0
3126.84	0	offset	167	3126840	
3191.83	285.9	onset	162	3191830	11.0
3476.725	0	offset	167	3476725	
